Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
HIST; 410;HISTORY OF IDEOLOGIES;01;001150;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;16;CSSH;2221
HIST; 410;HISTORY OF IDEOLOGIES;01;001150;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;16;CSSH;2221
HIST; 410;HISTORY OF IDEOLOGIES;01;001150;18.01.2023;15:00:00;18:00:00;CASEZ48;FIN;16;CSSH;2221
HIST; 414;QUANTITATIVE HISTORY;01;004320;18.01.2023;11:45:00;14:45:00;SNAB220;FIN;6;CSSH;2221
HIST; 414;QUANTITATIVE HISTORY;01;004320;29.11.2022;17:30:00;20:30:00;ENGB19;MID;6;CSSH;2221
HIST; 425;CONSTANTINOPLE 330-1453;01;003228;19.01.2023;18:15:00;21:15:00;CASEZ48;FIN;2;CSSH;2221
HIST; 425;CONSTANTINOPLE 330-1453;01;003228;19.01.2023;18:15:00;21:15:00;CASEZ48;FIN;2;CSSH;2221
HIST; 425;CONSTANTINOPLE 330-1453;01;003228;19.01.2023;18:15:00;21:15:00;CASEZ48;FIN;2;CSSH;2221
HIST; 427;PAINTING IN THE OTTOM EMP;01;003229;18.01.2023;11:45:00;14:45:00;SOS104;FIN;1;CSSH;2221
HIST; 427;PAINTING IN THE OTTOM EMP;01;003229;18.01.2023;11:45:00;14:45:00;SOS103;FIN;1;CSSH;2221
HSGN; 515;MEDICAL NURSING;01;003093;18.01.2023;15:00:00;18:00:00;ENGB21;FIN;2;GSHS;2221
HSGN; 547;EPIDEMIOLOGY;01;003315;23.01.2023;18:15:00;21:15:00;SOS104;FIN;9;GSHS;2221
HSGN; 552;PRACTICE OF FUND. OF NRS. INS.;01;003459;21.01.2023;08:30:00;11:30:00;CASEB15;FIN;1;GSHS;2221
HSGN; 605;PHILOSOPHY OF SCIENCE;01;003124;17.01.2023;11:45:00;14:45:00;CASEB12;FIN;8;GSHS;2221
HSGN; 616;EVI BASE PRACT WOM HEALTH;01;003135;16.01.2023;15:00:00;18:00:00;CASEB39;FIN;2;GSHS;2221
HSGN; 621;PHIL FOUN PSYCH NURSING I;01;003140;16.01.2023;08:30:00;11:30:00;SNA122;FIN;1;GSHS;2221
HSGN; 623;EVI BASE BAS PRAC PSYC NU;01;003142;20.01.2023;11:45:00;14:45:00;ENGB15;FIN;1;GSHS;2221
HSGN; 645;PHIL. FUNDATIONS OF NRS.CARE;01;003462;19.01.2023;11:45:00;14:45:00;SOSZ27;FIN;6;GSHS;2221
HSGN; 655;METHODOLOGY IN NURSING;01;003988;19.01.2023;18:15:00;21:15:00;CASEB12;FIN;6;GSHS;2221
HSMP; 510;SYSTEM PHYSIOLOGY I;01;004344;18.01.2023;11:45:00;14:45:00;CASEB12;FIN;3;GSHS;2221
HSRB; 501;FEMA AND MALE REPROD SYST;01;001016;19.01.2023;11:45:00;14:45:00;SNAA11;FIN;7;GSHS;2221
HSRB; 503;ASST REPR TECH AND IVF;01;000624;16.01.2023;15:00:00;18:00:00;ENGB06;FIN;2;GSHS;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;01;000076;7.11.2022;19:00:00;22:00:00;SOSB10;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;01;000076;7.11.2022;19:00:00;22:00:00;SOSB11;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;01;000076;20.01.2023;15:00:00;18:00:00;SNAA21;FIN;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;01;000076;14.12.2022;19:00:00;22:00:00;SNAA21;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;02;000076;7.11.2022;19:00:00;22:00:00;SOSB07;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;02;000076;7.11.2022;19:00:00;22:00:00;SOSB08;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;02;000076;14.12.2022;19:00:00;22:00:00;SNAA22;MID;61;CSSH;2221
HUMS; 102;ORIGINS OF CIVILIZATIONS;02;000076;20.01.2023;15:00:00;18:00:00;SNAA22;FIN;61;CSSH;2221
