Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
LEC;HUMS; 115;01;000079;MYTHOLOGY AND RELIGION;33;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA158;LCTR;70;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;3559;P
LEC;HUMS; 115;02;000079;MYTHOLOGY AND RELIGION;64;UGRD;CSSH;N;Y;N;Y;N;N;N;CASEZ48;LCTR;79;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;3612;P
LEC;HUMS; 116;01;003901;CURIOSITY;70;UGRD;CSSH;N;Y;N;Y;N;N;N;SNAB119;LCTR;75;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1744;P
LEC;HUMS; 120;01;002815;TRUTH AND POLITICS;70;UGRD;CSSH;Y;N;Y;N;N;N;N;SNA158;LCTR;70;08:30:00;09:45:00;27.02.2023;2.06.2023;2222;2189;P
LEC;HUMS; 125;01;000955;EMPIRES OF THE STEPPES;43;UGRD;CSSH;Y;N;Y;N;N;N;N;ENGB29;LCTR;79;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2112;P
LEC;HUMS; 131;01;003919;HISTORY, POWER AND PEOPLE;53;UGRD;CSSH;N;Y;N;Y;N;N;N;ENGB29;LCTR;79;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;1745;P
LEC;HUMS; 131;02;003919;HISTORY, POWER AND PEOPLE;71;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA158;LCTR;70;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1746;P
LEC;HUMS; 131;03;003919;HISTORY, POWER AND PEOPLE;65;UGRD;CSSH;N;Y;N;Y;N;N;N;SNA158;LCTR;70;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;2294;P
LEC;HUMS; 135;01;004286;LISTENING TO ISTANBUL: MUSIC I;24;UGRD;CSSH;N;N;N;Y;N;N;N;SNAA51;LCTR;46;08:30:00;11:15:00;27.02.2023;2.06.2023;2222;2184;P
LEC;HUMS; 137;01;004551;CONTEMPORARY FOREIGN POLICY;45;UGRD;CSSH;Y;N;Y;N;N;N;N;SNAB119;LCTR;75;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;2467;P
THE;IEOM; 695;01;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3011;P
THE;IEOM; 695;02;001916;PhD THESIS;2;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3012;P
THE;IEOM; 695;03;001916;PhD THESIS;4;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3013;P
THE;IEOM; 695;04;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3014;P
THE;IEOM; 695;05;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3015;P
THE;IEOM; 695;06;001916;PhD THESIS;1;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3016;P
THE;IEOM; 695;07;001916;PhD THESIS;3;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3017;P
THE;IEOM; 695;08;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3018;P
THE;IEOM; 695;09;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3019;P
THE;IEOM; 695;10;001916;PhD THESIS;1;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3020;P
THE;IEOM; 695;11;001916;PhD THESIS;1;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3021;P
THE;IEOM; 695;12;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3022;P
THE;IEOM; 695;13;001916;PhD THESIS;1;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3023;P
THE;IEOM; 695;14;001916;PhD THESIS;2;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3024;P
THE;IEOM; 695;15;001916;PhD THESIS;0;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3025;P
THE;IEOM; 695;16;001916;PhD THESIS;1;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3026;P
THE;IEOM; 695;17;001916;PhD THESIS;2;PHD;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3027;P
LEC;IMMN; 503;01;004201;IMMUNE SYSTEM IN HEALTH&DISEAS;12;MAST;GSHS;Y;N;N;N;N;N;N;;;0;14:00:00;16:00:00;27.02.2023;2.06.2023;2222;1944;P
LEC;IMMN; 511;01;004486;IMMUNE SYSTEM AND METABOLISM;6;MAST;GSHS;N;N;N;N;Y;N;N;;;0;14:00:00;16:00:00;27.02.2023;2.06.2023;2222;2160;P
LEC;IMMN; 512;01;004545;EXPER.&CLIN. LAB. TEC. IN IMMN;21;MAST;GSHS;Y;N;N;N;N;N;N;;;0;11:00:00;13:00:00;27.02.2023;2.06.2023;2222;2400;P
SEM;IMMN; 590;01;004197;SEMINAR;4;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2653;P
LEC;IMMN; 591;01;004200;PROJECT;2;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2660;P
THE;IMMN; 595;01;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2646;P
THE;IMMN; 595;02;004198;THESIS;2;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2647;P
THE;IMMN; 595;03;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2648;P
THE;IMMN; 595;04;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2649;P
THE;IMMN; 595;05;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2650;P
THE;IMMN; 595;06;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2651;P
THE;IMMN; 595;07;004198;THESIS;1;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2654;P
THE;IMMN; 595;08;004198;THESIS;2;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2656;P
THE;IMMN; 595;09;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2662;P
THE;IMMN; 595;10;004198;THESIS;0;MAST;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3673;P
SEM;IMMN; 690;01;004210;PhD SEMINAR COURSE;11;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2652;P
THE;IMMN; 695;01;004211;PHD THESIS;2;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2642;P
THE;IMMN; 695;02;004211;PHD THESIS;3;PHD;GSHS;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;2643;P
